PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"94376","2021-10-05","16:19:39","0.932995","1623","0",\N
"48289","2021-09-11","18:12:02","0.924808","941","0",\N
"27129","2021-08-29","13:07:58","0.968865","521","0",\N
"53984","2021-09-19","16:44:25","0.976522","1173","0",\N
"28451","2021-08-29","13:46:57","0.977184","701","0",\N
"141342","2021-10-25","10:06:32","0.96896","1859","0",\N
"64792","2021-09-21","11:01:13","0.93248","1341","0",\N
"21657","2021-08-26","09:16:57","0.986801","1206","0",\N
"80468","2021-09-23","09:33:21","0.967513","832","0",\N
"33706","2021-08-30","08:32:33","0.937298","422","0",\N
"144395","2021-10-25","11:33:43","0.972371","3349","0",\N
"118400","2021-10-14","13:53:09","0.986299","1244","0",\N
"86750","2021-10-03","17:19:52","0.909143","1112","0",\N
"52272","2021-09-19","14:50:47","0.976589","381","0",\N
"52222","2021-09-19","14:49:49","0.969908","340","0",\N
"152464","2021-11-02","15:47:18","0.917895","1292","0",\N
"987","2021-08-23","18:33:27","0.936659","423","0",\N
"132907","2021-10-22","13:32:48","0.910719","880","0",\N
"95031","2021-10-05","16:46:42","0.938286","1730","0",\N
"31691","2021-08-29","18:21:32","0.996944","1945","0",\N
"10713","2021-08-24","09:41:54","0.989996","1262","0",\N
"129766","2021-10-19","17:11:42","0.905202","218","0",\N
"116187","2021-10-14","12:11:03","0.977026","683","0",\N
"136914","2021-10-25","08:22:57","0.944977","199","0",\N
"156862","2021-12-05","14:36:16","0.97363","1079","0",\N
"695","2021-08-23","18:18:49","0.998456","226","0",\N
"90975","2021-10-05","12:38:48","0.989545","801","0",\N
"105624","2021-10-11","15:28:02","0.968445","84","0",\N
"136416","2021-10-25","08:05:45","0.952291","31","0",\N
"64795","2021-09-21","11:01:15","0.929058","1341","0",\N
"31683","2021-08-29","18:08:22","0.918383","1931","0",\N
"99690","2021-10-06","11:37:00","0.969259","1374","0",\N
"95138","2021-10-05","17:01:42","0.946285","1789","0",\N
"97261","2021-10-06","09:48:07","0.921375","336","0",\N
